threads,serial,atomic,reduction,reduction_unrolled
1,0.360000,1.126154,0.369976,0.282374
2,0.360000,0.960833,0.192625,0.146144
4,0.360000,0.632181,0.102702,0.077416
8,0.360000,0.369445,0.057124,0.044085
16,0.360000,0.399419,0.118507,0.090346
