method,config,NX,NY,num_points,threads,best_time_s,avg_time_s,speedup_vs_serial,run1_s,run2_s,run3_s
atomic,e,1000,400,14000000,2,3.331386,3.338636,0.4503,3.352046,3.332477,3.331386
atomic,e,1000,400,14000000,4,2.047771,2.049504,0.7325,2.047771,2.050983,2.049757
atomic,e,1000,400,14000000,8,1.216292,1.226109,1.2333,1.240451,1.216292,1.221585
atomic,e,1000,400,14000000,16,1.455533,1.468971,1.0306,1.495460,1.455919,1.455533
reduction,e,1000,400,14000000,1,1.506749,1.507940,0.9955,1.509619,1.507452,1.506749
reduction,e,1000,400,14000000,2,0.791187,0.794445,1.8959,0.800067,0.792080,0.791187
reduction,e,1000,400,14000000,4,0.531183,0.539845,2.8239,0.531183,0.531818,0.556533
reduction,e,1000,400,14000000,8,0.494656,0.503240,3.0324,0.506511,0.494656,0.508552
reduction,e,1000,400,14000000,16,0.365993,0.378584,4.0984,0.400761,0.368999,0.365993
reduction_unrolled,e,1000,400,14000000,1,1.124691,1.136495,1.3337,1.125025,1.159768,1.124691
reduction_unrolled,e,1000,400,14000000,2,0.608179,0.618923,2.4664,0.608179,0.624505,0.624084
reduction_unrolled,e,1000,400,14000000,4,0.451705,0.481350,3.3208,0.512936,0.451705,0.479410
reduction_unrolled,e,1000,400,14000000,8,0.515710,0.525279,2.9086,0.539235,0.515710,0.520892
reduction_unrolled,e,1000,400,14000000,16,0.349559,0.358962,4.2911,0.349559,0.354998,0.372328
