threads,atomic,reduction,reduction_unrolled
1,0.3416,0.9955,1.3337
2,0.4503,1.8959,2.4664
4,0.7325,2.8239,3.3208
8,1.2333,3.0324,2.9086
16,1.0306,4.0984,4.2911
