threads,serial,atomic,reduction,reduction_unrolled
1,0.060000,0.265379,0.058824,0.050213
2,0.060000,0.268997,0.032775,0.027188
4,0.060000,0.166910,0.018444,0.015473
8,0.060000,0.094795,0.010443,0.009041
16,0.060000,0.116152,0.027470,0.027177
