threads,atomic,reduction,reduction_unrolled
1,0.3292,1.0126,1.3915
2,0.3876,1.9629,2.6682
4,0.5909,3.7332,5.0180
8,1.0019,6.9765,9.2034
16,0.9709,7.3581,7.8502
