threads,atomic,reduction,reduction_unrolled
1,0.2237,1.0085,1.1519
2,0.2202,1.8778,2.2569
4,0.3561,3.4839,4.1271
8,0.6288,6.3628,7.3082
16,0.5720,2.7338,3.8540
