threads,serial,atomic,reduction,reduction_unrolled
1,0.330000,1.475234,0.327233,0.286471
2,0.330000,1.498379,0.175737,0.146220
4,0.330000,0.926621,0.094722,0.079959
8,0.330000,0.524816,0.051864,0.045155
16,0.330000,0.576972,0.120711,0.085626
