threads,serial,atomic,reduction,reduction_unrolled
1,2.080000,6.317881,2.054048,1.494789
2,2.080000,5.366236,1.059669,0.779545
4,2.080000,3.520191,0.557164,0.414504
8,2.080000,2.076010,0.298144,0.226004
16,2.080000,2.142306,0.282680,0.264962
