threads,atomic,reduction,reduction_unrolled
1,0.3197,0.9730,1.2749
2,0.3747,1.8689,2.4633
4,0.5695,3.5053,4.6502
8,0.9744,6.3021,8.1660
16,0.9013,3.0378,3.9847
