ProblemSize,E2ETime,AlgoTime
2,7.093300402376044e-05,6.062393946537058e-07
4,2.5687995266923364e-06,4.713017986955276e-07
8,5.677140321358358e-06,1.028129714930023e-06
16,2.4079508268791714e-05,4.399391752257196e-06
32,9.995032440042428e-05,2.944726818547535e-05
64,0.00047179588328202413,0.0002291860342584596
128,0.0026768691461189335,0.0018252550780123486
256,0.018941099127789365,0.015955347185137837
512,0.09322768667037543,0.08044818081437485
1024,0.39717340922356326,0.3570502097212964
2048,6.925984083609277,6.554241425795793
4096,54.5105441315187,51.78501692494276
