ProblemSize,E2ETime,AlgoTime
2,7.95963445617404e-05,4.039602143756451e-07
4,2.619559628096264e-06,4.99835874801426e-07
8,6.210435340074194e-06,1.205525801743878e-06
16,2.855230926093688e-05,8.227008731040379e-06
32,0.0001332320394807817,7.468399173343693e-05
64,0.00089320531534023,0.0006444991531251887
128,0.007364654312739898,0.006018952763327475
256,0.04817937382806024,0.04056488020480503
512,0.21211266716339616,0.1929510456466697
1024,1.5089927984258766,1.3307770507191041
2048,79.6102177298933,75.62970684339862
4096,649.300875181109,616.8358314220535
