ProblemSize,E2ETime,AlgoTime
2,8.109812191159581e-05,3.3117627630104236e-07
4,2.603936684198966e-06,4.714929267431918e-07
8,6.109658671788008e-06,1.1797467889933215e-06
16,2.8929871403617538e-05,9.306073677597906e-06
32,0.0001520037288246023,8.032881171864611e-05
64,0.0011159623171746404,0.0007673464397242937
128,0.008926248871587416,0.007559341417840184
256,0.057383426307099736,0.05286649712257645
512,0.24297980499725824,0.2308308147473953
1024,1.6914997473836146,1.6069247600144339
2048,99.60253612226504,94.62240931615177
4096,887.687913186469,819.8937958243768
