ProblemSize,E2ETime,AlgoTime
2,7.341893161679369e-05,5.696134875372202e-07
4,2.62328547734119e-06,4.848173144456898e-07
8,5.473228173957578e-06,1.0370322534601957e-06
16,2.2701564127773136e-05,4.649432524334335e-06
32,0.00010596836639175252,3.11682889826177e-05
64,0.00047851294331769,0.0002521907694671862
128,0.0027956686664387474,0.0019741760321838613
256,0.020069914831086954,0.015818757046228264
512,0.10300022431440123,0.08897032877796592
1024,0.41161985119147704,0.38298194089660614
2048,6.916647718858009,6.570815332915108
4096,54.57016048971435,51.84165246522863
