Np,Time,Bandwidth_GBs,Performance_MFLOPs
256,0.508281844,32.234084678421056,2014.630292401316
512,0.524792849,32.73647729144267,2046.0298307151666
1024,0.481797143,35.65788928723473,2228.618080452171
2048,0.570189285,30.13011579830021,1883.132237393763
4096,0.6393901,26.86915106130045,1679.3219413312781
8192,0.558593255,30.755597261911085,1922.2248288694427
16384,0.528601858,32.500584180693515,2031.2865112933446
32768,0.621432948,27.645571801899372,1727.8482376187108
65536,0.565694533,30.369516022881555,1898.0947514300972
131072,0.531002309,32.353661919763894,2022.1038699852434
262144,0.5394585,31.846507533016908,1990.4067208135566
524288,0.612638009,28.0424474675387,1752.6529667211687
1048576,1.093878206,15.70546802172965,981.5917513581031
2097152,1.131210708,15.187152192339395,949.1970120212122
4194304,1.129257252,15.213423826655221,950.8389891659514
8388608,1.119916891,15.34030723356596,958.7692020978725
16777216,1.115330433,15.403389592615913,962.7118495384946
33554432,1.116358226,15.389208216395586,961.8255135247241
67108864,1.115972326,15.394529760050697,962.1581100031685
134217728,1.117869643,15.368401218853029,960.5250761783143
268435456,1.115795986,15.396962706047951,962.3101691279969
536870912,1.120805716,15.328142013151547,958.0088758219716
