Np,Time,Bandwidth_GBs,Performance_MFLOPs
256,0.311625062,26.288001187786364,4929.000222709944
512,0.333840732,25.730636703732127,4824.494381949774
1024,0.359734781,23.87852119308975,4477.222723704329
2048,0.438999078,19.567090279857037,3668.8294274731943
4096,0.376955995,22.7876322593039,4272.681048619482
8192,0.418226701,20.53894352383781,3851.0519107195887
16384,0.36590761,23.47569265367288,4401.692372563664
32768,0.358803083,23.9405261520565,4488.848653510594
65536,0.337446047,25.455727421812114,4772.948891589771
131072,0.337182975,25.47558811947727,4776.6727724019875
262144,0.33695404,25.492896871039147,4779.9181633198405
524288,0.33733403,25.464180391168952,4774.533823344179
1048576,0.341691173,25.13946882672325,4713.650405010609
2097152,0.613115575,14.01030236754302,2626.9316939143164
4194304,0.633264402,13.564530968219495,2543.3495565411554
8388608,0.628743362,13.662068041045975,2561.6377576961204
16777216,0.6264062,13.713042099519448,2571.195393659897
33554432,0.627841161,13.681700285974083,2565.3188036201404
67108864,0.628712437,13.662740048516012,2561.763759096752
134217728,0.627939655,13.679554275004339,2564.9164265633135
268435456,0.627505732,13.68901374752701,2566.6900776613143
536870912,0.629362752,13.648622459309445,2559.1167111205204
