Np,Time,Bandwidth_GBs,Performance_MFLOPs
256,0.193531136,42.32910615478432,2645.56913467402
512,0.188669188,45.52908020147943,2845.5675125924645
1024,0.181355118,47.36527254775352,2960.329534234595
2048,0.187194387,45.88777863302066,2867.986164563791
4096,0.236220164,36.36410392128929,2272.756495080581
8192,0.234878487,36.57182359148967,2285.7389744681045
16384,0.262642187,32.70584474686848,2044.11529667928
32768,0.315636573,27.21463647370167,1700.9147796063544
65536,0.316387249,27.15006568422105,1696.8791052638157
131072,0.315485851,27.227638148501313,1701.727384281332
262144,0.314871924,27.280725708653527,1705.0453567908453
524288,0.314700592,27.295578115722133,1705.9736322326335
1048576,0.317053087,27.09304827554005,1693.3155172212532
2097152,0.624461951,13.755737364373061,859.7335852733164
4194304,0.635209928,13.522985415303522,845.1865884564701
8388608,0.635334118,13.520342050952157,845.0213781845099
16777216,0.635688275,13.512809548044597,844.5505967527873
33554432,0.631498793,13.602456073102898,850.1535045689311
67108864,0.635291901,13.521240517120964,845.0775323200603
134217728,0.632684717,13.576959204468979,848.5599502793111
268435456,0.633479307,13.559929262219768,847.4955788887355
536870912,0.634651308,13.534888345333718,845.9305215833573
