config,total_cores,ranks,threads,interp,norm,mover,denorm,total,scat,ar_mesh,ar_mm,voids,wall,max_abs,max_rel,speedup,efficiency
e,1,1,1,2.216615,0.005507,2.27732,0.001822,4.501263,0.05617,9e-06,2.2e-05,2,6.109766006469727,0.0,0.0,,
e,2,1,2,1.128928,0.002898,1.168149,0.001556,2.301531,0.055955,5e-06,1.7e-05,2,3.7435970306396484,0.0,0.0,1.9557690076735874,97.78845038367938
e,4,1,4,0.626527,0.001667,0.629404,0.001042,1.258641,0.056254,1.3e-05,1.6e-05,2,2.591765880584717,0.0,0.0,3.576288234691227,89.40720586728067
e,8,1,8,0.898458,0.001462,0.405626,0.00085,1.306396,0.056153,1.3e-05,1.2e-05,2,2.6967029571533203,0.0,0.0,3.44555785535167,43.069473191895874
e,16,2,8,0.467046,0.001174,0.205103,0.001507,0.67483,0.062472,0.016925,6.1e-05,2,2.1150519847869873,0.0,0.0,6.670217684453862,41.68886052783664
e,32,4,8,0.486932,0.062585,0.239851,0.033902,0.82327,0.070886,0.267028,0.030098,2,3.4911489486694336,0.0,0.0,5.467541632757176,17.086067602366175
e,64,8,8,0.295015,0.059326,0.133928,0.033633,0.521901,0.078367,0.241085,0.031308,2,3.595767021179199,0.0,0.0,8.624744922887675,13.476163942011993
