config,total_cores,ranks,threads,interp,norm,mover,denorm,total,scat,ar_mesh,ar_mm,voids,wall,max_abs,max_rel,speedup,efficiency
c,1,1,1,0.560151,0.001483,0.593788,0.000541,1.155963,0.014529,5e-06,1.3e-05,1,1.8051180839538574,0.0,0.0,,
c,2,1,2,0.28733,0.001516,0.303727,0.000787,0.59336,0.014381,5e-06,1.1e-05,1,1.2980718612670898,0.0,0.0,1.9481646892274507,97.40823446137253
c,4,1,4,0.159843,0.001675,0.164318,0.000875,0.326711,0.014335,4e-06,1.3e-05,1,0.9021408557891846,0.0,0.0,3.538182063046546,88.45455157616365
c,8,1,8,0.102984,0.001828,0.103727,0.000939,0.209478,0.014377,9e-06,1e-05,1,0.8353209495544434,0.0,0.0,5.518302637985851,68.97878297482313
c,16,2,8,0.057065,0.001924,0.053849,0.000933,0.113771,0.01618,0.005549,0.000177,1,0.9433929920196533,0.0,0.0,10.160436315053925,63.50272696908703
c,32,4,8,0.124587,0.002989,0.079101,0.001011,0.207688,0.022744,0.105315,0.001461,1,2.141387939453125,0.0,0.0,5.565863217903779,17.393322555949307
c,64,8,8,0.099376,0.003193,0.048143,0.000996,0.151708,0.025936,0.103095,0.001592,1,2.3283560276031494,0.0,0.0,7.619657499934084,11.905714843647006
