config,total_cores,ranks,threads,interp,norm,mover,denorm,total,scat,ar_mesh,ar_mm,voids,wall,max_abs,max_rel,speedup,efficiency
b,1,1,1,0.484497,0.000472,0.628913,0.000223,1.114104,0.020065,5e-06,1.3e-05,26,1.8651559352874756,0.0,0.0,,
b,2,1,2,0.253633,0.000508,0.316214,0.000283,0.570638,0.020137,6e-06,6e-06,26,1.3063790798187256,0.0,0.0,1.9523831220493553,97.61915610246777
b,4,1,4,0.144969,0.000553,0.178348,0.000305,0.324175,0.020031,8e-06,1.1e-05,26,0.9938428401947021,0.0,0.0,3.4367363306855867,85.91840826713967
b,8,1,8,0.0947,0.000605,0.106375,0.000321,0.202001,0.020094,5e-06,1.2e-05,26,0.9250259399414062,0.0,0.0,5.515339032975085,68.94173791218856
b,16,2,8,0.054717,0.000735,0.058728,0.000322,0.114501,0.022595,0.004503,0.000191,26,1.0520060062408447,0.0,0.0,9.730080959991616,60.8130059999476
b,32,4,8,0.098826,0.001137,0.076639,0.000387,0.176989,0.031695,0.079438,0.000664,26,2.6167759895324707,0.0,0.0,6.294764081383589,19.671137754323713
b,64,8,8,0.083177,0.001355,0.0434,0.000424,0.128356,0.03206,0.081753,0.000891,26,2.458099842071533,0.0,0.0,8.67979681510798,13.56218252360622
