ProblemSize,E2ETime,AlgoTime
2,1.07654468198802e-06,1.1646802909235766e-07
4,9.191627450227336e-07,1.3999470052580198e-07
8,2.7648876444167216e-06,4.2800945324885913e-07
16,1.348477859426727e-05,3.1534639979959465e-06
32,6.263140628913881e-05,2.7706491819138914e-05
64,0.00031141696912752727,0.00018762875119216851
128,0.001871483619546893,0.0014305966953850728
256,0.01480645412770132,0.011651894893527347
512,0.10232664938816588,0.09343231420816303
1024,0.8153560361770463,0.7299823326266897
2048,13.540065928620308,12.863062632189292
4096,124.44887570951849,114.90994045798861
