ProblemSize,E2ETime,AlgoTime
2,1.0563641605035767e-06,1.3193791361179374e-07
4,9.485998094729262e-07,1.615386297761296e-07
8,2.821337392113499e-06,4.25406834939835e-07
16,1.3861744284484916e-05,2.775063827615968e-06
32,6.321079537001043e-05,2.3989175789298364e-05
64,0.00027725576170018027,0.00014759723365785897
128,0.0016591882806702512,0.0010939204167722657
256,0.011280304526702452,0.009853136592599503
512,0.08733162750858237,0.07713387320543946
1024,0.6550249143429001,0.6173078015671981
2048,11.371341390443598,10.802774320921419
4096,91.13997467224335,86.58297593863118
