threads,algo_time,speedup,efficiency_pct,interpolation,normalization,mover,denormalization,voids
serial,0.267111,1.0,100.0,0.116495,0.001334,0.149072,0.00021,2
1,0.192734,1.3859049259601317,138.59049259601318,0.086292,0.000511,0.105753,0.000178,2
2,0.10354,2.5797855901101023,128.98927950550512,0.046448,0.000553,0.056315,0.000225,2
4,0.054307,4.918537205148507,122.96343012871267,0.024421,0.000568,0.029084,0.000234,2
8,0.033997,7.856899138159249,98.21123922699061,0.015499,0.000624,0.01762,0.000254,2
16,0.041896,6.375572847049837,39.847330294061486,0.026938,0.00064,0.013809,0.00051,2
