threads,algo_time,speedup,efficiency_pct,interpolation,normalization,mover,denormalization,voids
serial,1.298016,1.0,100.0,0.585954,0.005243,0.705997,0.000822,2
1,1.082997,1.1985407161792692,119.85407161792692,0.528791,0.00196,0.551579,0.000667,2
2,0.565439,2.295589798369055,114.77948991845275,0.273701,0.002093,0.288784,0.000862,2
4,0.302736,4.28761693356588,107.19042333914699,0.145995,0.002238,0.153568,0.000936,2
8,0.170833,7.598157264697102,94.97696580871377,0.08462,0.00239,0.082825,0.000998,2
16,0.171958,7.548447876807128,47.17779923004455,0.1035,0.00251,0.063783,0.002166,2
