threads,algo_time,speedup,efficiency_pct,interpolation,normalization,mover,denormalization,voids
serial,1.568071,1.0,100.0,0.686992,0.001447,0.879408,0.000224,10
1,1.11732,1.4034215802097876,140.34215802097876,0.499355,0.00055,0.61722,0.000195,10
2,0.582644,2.691302064382367,134.56510321911836,0.25904,0.000582,0.322779,0.000242,10
4,0.302744,5.1795279179769045,129.4881979494226,0.13654,0.000604,0.165358,0.000242,10
8,0.170189,9.213703588363526,115.17129485454407,0.079603,0.000627,0.089702,0.000257,10
16,0.178004,8.80918968113076,55.057435507067254,0.079943,0.002745,0.094711,0.000605,10
