threads,algo_time,speedup,efficiency_pct,interpolation,normalization,mover,denormalization,voids
serial,5.627324,1.0,100.0,2.555585,0.022343,3.045937,0.003459,0
1,4.247566,1.3248349760780644,132.48349760780644,2.097153,0.007857,2.139908,0.002647,0
2,2.244993,2.506610933753468,125.3305466876734,1.119548,0.004149,1.11954,0.001756,0
4,1.31168,4.290165284215663,107.25413210539156,0.716179,0.002298,0.592197,0.001006,0
8,0.936194,6.0108524515218,75.1356556440225,0.609094,0.001384,0.324977,0.000739,0
16,0.68292,8.24009254378258,51.500578398641125,0.409773,0.001448,0.269243,0.002456,0
