threads,algo_time,speedup,efficiency_pct,interpolation,normalization,mover,denormalization,voids
serial,2.128281,1.0,100.0,0.883647,0.001757,1.24252,0.000358,4
1,1.905669,1.1168156694578124,111.68156694578124,0.849576,0.001307,1.054453,0.000333,4
2,1.733407,1.22780224148166,61.39011207408301,0.800319,0.00144,0.931272,0.000376,4
4,0.965916,2.203381039345036,55.084525983625895,0.445566,0.001451,0.518378,0.000522,4
8,0.758347,2.8064738173949393,35.08092271743674,0.274113,0.001545,0.482132,0.000558,4
16,0.826619,2.574681927224029,16.091762045150183,0.320118,0.001485,0.504344,0.000672,4
