threads,algo_time,speedup,efficiency_pct,interpolation,normalization,mover,denormalization,voids
serial,0.528176,1.0,100.0,0.217389,0.000448,0.310243,9.6e-05,10
1,0.463451,1.139658777303318,113.9658777303318,0.21157,0.000325,0.251463,9.2e-05,10
2,0.398299,1.3260791515921455,66.30395757960727,0.181452,0.000357,0.216383,0.000107,10
4,0.227388,2.322796277727936,58.069906943198404,0.102718,0.000367,0.124138,0.000165,10
8,0.187625,2.815061958694204,35.18827448367755,0.06931,0.000407,0.117718,0.000189,10
16,0.205314,2.572527932824844,16.078299580155274,0.078349,0.000382,0.126311,0.000272,10
