threads,algo_time,speedup,efficiency_pct,interpolation,normalization,mover,denormalization,voids
serial,0.386586,1.0,100.0,0.159311,0.001759,0.225153,0.000364,2
1,0.372535,1.0377172614653656,103.77172614653657,0.165773,0.001396,0.205006,0.00036,2
2,0.341695,1.1313773979718753,56.56886989859377,0.160596,0.001516,0.179175,0.000408,2
4,0.186795,2.0695735967236812,51.73933991809203,0.088099,0.001477,0.096674,0.000545,2
8,0.142829,2.7066352071358053,33.832940089197564,0.055348,0.001571,0.08532,0.000591,2
16,0.173875,2.223355859094177,13.895974119338605,0.07483,0.001489,0.096827,0.000729,2
