threads,algo_time,speedup,efficiency_pct,interpolation,normalization,mover,denormalization,voids
serial,2.094872,1.0,100.0,1.069485,0.007044,1.016724,0.001619,0
1,2.046482,1.0236454559580783,102.36454559580783,1.158105,0.005193,0.881885,0.001299,0
2,1.842916,1.136715943645831,56.83579718229155,1.046866,0.003539,0.79116,0.001351,0
4,1.024692,2.0443918758026802,51.10979689506701,0.587217,0.002216,0.434508,0.000751,0
8,1.614264,1.2977257747183857,16.22157218397982,1.24244,0.00169,0.369662,0.000471,0
16,2.063878,1.015017360522279,6.343858503264244,1.659316,0.002914,0.399969,0.001679,0
