threads,serial,atomic,reduction,reduction_unrolled
1,1.022386,4.098279,1.059737,1.440384
2,1.022386,3.535435,0.933842,0.970228
4,1.022386,1.576931,0.502376,0.513507
8,1.022386,0.965160,1.189635,1.157866
