threads,serial,atomic,reduction,reduction_unrolled
1,0.146756,0.891784,0.152895,0.136201
2,0.146756,1.026812,0.135335,0.108592
4,0.146756,0.616490,0.073186,0.064542
8,0.146756,0.371047,0.040637,0.039289
