threads,serial,atomic,reduction,reduction_unrolled
1,0.654630,3.553167,0.643601,0.602447
2,0.654630,3.892221,0.617530,0.574324
4,0.654630,2.489530,0.317162,0.303080
8,0.654630,1.514419,0.179154,0.172192
