threads,serial,atomic,reduction,reduction_unrolled
1,0.026774,0.160328,0.026773,0.025026
2,0.026774,0.185814,0.024653,0.020402
4,0.026774,0.111213,0.014021,0.012051
8,0.026774,0.066215,0.009078,0.008351
