threads,serial,atomic,reduction,reduction_unrolled
1,0.119195,0.653653,0.118945,0.113156
2,0.119195,0.714346,0.120267,0.115418
4,0.119195,0.455000,0.064953,0.065400
8,0.119195,0.274062,0.040248,0.040581
